GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute1Notes,Attribute2,Attribute2Notes,Attribute3,Attribute3Notes,Attribute4,Attribute4Notes,Attribute5,Attribute5Notes,Attribute6,Attribute6Notes,Attribute7,Attribute7Notes
Enzyme activity,Acid_Phosphatase,Acid phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Alkaline_Phosphatase,Alkaline phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Arylsulfatase,Arylsulfatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Beta_Glucosaminidase_NAG,Beta Glucosaminidase nag enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Beta_Glucosidase,Beta glucosidase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Combined_Enzyme_Assay,Combined assay of multiple enzymes activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Fluorescein_Diacetate_Hydrolysis,Fluorescein Diacetate hydrolysis enzyme activity,mg fluorescein kg-1 h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,L-asparaginase,L-asparaginase enzyme activity,mg NH4–N released kg−1 soil h−1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,L-glutaminase,L-glutaminase enzyme activity,mg NH4–N released kg−1 soil h−1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Phenol_Oxidase,Phenol oxidase enzyme activity,umol product (dopachrome) g-1 dry soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Phosphodiesterase,Phosphodiesterase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Urease,Urease enzyme activity,mg NH4–N released kg−1 soil h−1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Microbes,AMF_abundance,Arbuscular mycorrhizal fungi root colonization,% root colonized,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Root sample staining"",""Other""]",,,,,,,,"Input|Method reference, if known",
Microbes,DNA,"DNA sequences, were they measured",-,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Yes"",""No""]",,"Select|Sequences measured|[""16s"",""18s"",""whole genome shotgun"",""other""]",,,,,,"Input|Method reference, if known",
Microbes,FAME,"Fatty Acid Methyl Esters, were they measured",-,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Yes"",""No""]",,,,,,,,"Input|Method reference, if known",
Microbes,Fungal_abundance,Abundance of fungi,copies/g,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""18S rDNA qPCR"",""Other""]",,,,,,,,"Input|Method reference, if known",
Microbes,Microbial_biomass_C,Microbial biomass carbon,mg C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Chloroform fumigation"",""Other""]",,,,,,,,"Input|Method reference, if known",
Microbes,Microbial_biomass_N,Microbial biomass nitrogen,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Chloroform fumigation"",""Other""]",,,,,,,,"Input|Method reference, if known",
Microbes,Microbial_genes,Abundance of specific microbial genes,number of reads/g,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Gene|[""nifH"",""Other""]",,"Select|Method|[""qPCR"",""Other""]",,,,,,"Input|Method reference, if known",
Microbes,PLFA,"Phospholipid Fatty Acids, were they measured",-,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Yes"",""No""]",,,,,,,,"Input|Method reference, if known",
Meso & macrofauna,Arthropod_abundance,Soil arthropods (aggregate or by category),number/m2,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Tullgren funnel"",""Other""]",,"Select|Taxon|[""collembola"",""acari"",""oribatida"",""isopod"",""other (specify)""]",,,,,,"Input|Method reference, if known",
Meso & macrofauna,Earthworm_abundance,number of earthworms per square meter,number/m2,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Midden or burrow count"",""hand sorting"",""chemical irritant"",""electroshock"",""Other""]",,"Select|Species|[""Lumbricus terrestris"",""Lumbricus rubellus"",""Apporectodea caliginosa"",""unknown"",""other (specify)""]",,,,,,"Input|Method reference, if known",
Meso & macrofauna,Nematode_abundance,number of nematodes per cubic meter,number/m3,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Decanting"",""Elutriator"",""Centrifugal flotation"",""Other""]",,"Select|Functional group|[""total"",""bacterivorous"",""fungivorous"",""omnivorous"",""predaceous"",""specific species (specify)""]",,,,,,"Input|Method reference, if known",
